"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2019","359.34","358.32","360.35","358.32","150.27M","0.20%"
"11/08/2019","358.64","358.72","360.61","357.87","179.63M","-0.19%"
"11/07/2019","359.31","362.00","362.00","358.09","187.27M","-0.98%"
"11/06/2019","362.86","362.73","364.18","361.92","241.50M","0.29%"
"11/05/2019","361.81","366.34","366.34","360.36","254.95M","-1.59%"
"11/04/2019","367.65","370.30","370.30","367.07","174.98M","-0.79%"
"11/01/2019","370.56","371.35","372.32","367.39","191.68M","-0.04%"
"10/31/2019","370.72","372.10","372.55","369.63","231.90M","-0.22%"
"10/30/2019","371.53","369.92","371.53","367.56","182.51M","0.57%"
"10/29/2019","369.44","368.09","371.27","368.09","191.40M","0.34%"
"10/28/2019","368.17","370.19","370.19","367.64","207.73M","-0.56%"
"10/25/2019","370.25","373.22","373.22","369.69","162.10M","-1.05%"
"10/24/2019","374.16","375.07","375.16","372.78","153.69M","-0.10%"
"10/23/2019","374.55","373.42","374.67","371.55","163.60M","0.21%"
"10/22/2019","373.78","375.85","375.95","373.44","159.10M","-0.42%"
"10/21/2019","375.37","372.74","375.42","372.00","148.89M","0.75%"
"10/18/2019","372.58","369.50","373.11","369.32","167.20M","0.84%"
"10/17/2019","369.49","367.92","370.21","367.88","146.28M","0.59%"
"10/16/2019","367.34","366.83","367.45","365.05","143.87M","-0.05%"
"10/15/2019","367.52","367.32","367.66","365.18","149.18M","0.13%"
"10/14/2019","367.04","367.36","367.46","365.97","106.98M","-0.03%"
"10/11/2019","367.15","368.26","370.03","366.94","160.97M","-0.03%"
"10/10/2019","367.25","366.35","368.13","365.27","146.36M","0.13%"
"10/09/2019","366.77","367.21","368.21","365.87","144.76M","0.29%"
"10/08/2019","365.72","367.36","368.47","364.07","168.37M","-0.53%"
"10/07/2019","367.66","367.08","369.40","366.15","150.11M","-0.23%"
"10/04/2019","368.49","366.90","368.56","366.84","150.13M","0.55%"
"10/03/2019","366.47","362.70","367.20","361.97","179.40M","1.04%"
"10/02/2019","362.71","363.88","364.76","360.57","191.90M","-0.48%"
"10/01/2019","364.47","367.45","368.47","364.11","165.11M","-0.96%"
"09/30/2019","368.02","367.36","369.48","367.34","183.82M","0.22%"
"09/27/2019","367.22","369.95","370.28","364.78","177.74M","-0.85%"
"09/26/2019","370.37","368.32","371.18","368.16","191.18M","0.76%"
"09/25/2019","367.59","367.26","368.54","366.11","187.95M","0.16%"
"09/24/2019","367.01","368.46","369.66","365.85","268.45M","-0.16%"
"09/23/2019","367.60","365.92","369.23","365.90","187.06M","0.17%"
"09/20/2019","366.97","367.35","368.83","366.31","368.44M","-0.08%"
"09/19/2019","367.27","366.59","368.45","366.10","157.68M","0.35%"
"09/18/2019","366.00","367.85","368.20","362.88","193.39M","-0.29%"
"09/17/2019","367.05","364.12","367.06","363.88","219.35M","1.09%"
"09/16/2019","363.08","359.78","363.29","359.19","162.69M","0.94%"
"09/13/2019","359.71","363.36","364.81","358.76","197.47M","-1.15%"
"09/12/2019","363.90","364.58","365.76","361.60","183.53M","0.45%"
"09/11/2019","362.28","361.35","362.65","359.76","213.09M","0.06%"
"09/10/2019","362.06","363.78","364.06","359.07","254.67M","-1.01%"
"09/09/2019","365.76","368.00","368.01","364.98","184.68M","-0.64%"
"09/06/2019","368.12","367.63","369.22","367.10","180.59M","0.24%"
"09/05/2019","367.24","369.78","369.78","366.32","209.45M","-0.76%"
"09/04/2019","370.04","368.76","370.34","367.97","176.17M","0.82%"
"09/03/2019","367.03","362.56","367.05","362.36","179.52M","0.99%"
"08/30/2019","363.42","363.98","364.34","361.79","161.76M","0.13%"
"08/29/2019","362.95","362.13","363.29","361.02","153.71M","0.74%"
"08/28/2019","360.30","359.30","360.79","358.62","146.70M","0.30%"
"08/27/2019","359.23","362.84","363.44","359.22","203.79M","-0.50%"
"08/26/2019","361.02","359.90","361.07","358.37","140.86M","0.89%"
"08/23/2019","357.84","362.70","365.05","356.81","174.71M","-1.38%"
"08/22/2019","362.86","361.58","363.22","359.35","133.35M","0.45%"
"08/21/2019","361.22","361.15","362.06","359.66","152.42M","0.40%"
"08/20/2019","359.78","363.32","363.52","359.70","142.15M","-0.82%"
"08/19/2019","362.74","361.50","363.36","360.18","140.08M","0.80%"
"08/16/2019","359.86","357.45","360.69","357.06","180.39M","0.89%"
"08/15/2019","356.70","353.21","357.17","353.21","184.40M","1.07%"
"08/14/2019","352.91","357.26","357.26","352.41","230.25M","-1.68%"
"08/13/2019","358.94","358.62","360.18","356.43","159.42M","0.14%"
"08/12/2019","358.43","359.39","360.18","356.94","108.57M","-0.38%"
"08/09/2019","359.81","359.38","360.73","356.38","170.86M","-0.05%"
"08/08/2019","360.00","354.35","360.18","352.29","215.73M","1.68%"
"08/07/2019","354.04","349.51","356.21","346.05","212.16M","0.96%"
"08/06/2019","350.67","347.09","352.27","346.62","195.63M","1.17%"
"08/05/2019","346.62","351.61","351.90","342.39","213.38M","-1.95%"
"08/02/2019","353.52","351.91","355.12","350.90","173.26M","0.50%"
"08/01/2019","351.77","352.66","354.95","349.88","215.36M","-0.06%"
"07/31/2019","351.98","353.69","355.98","350.05","240.72M","-0.39%"
"07/30/2019","353.35","350.96","354.50","350.70","166.29M","0.69%"
"07/29/2019","350.93","350.78","353.09","350.28","165.60M","0.35%"
"07/26/2019","349.70","348.72","350.17","347.36","173.38M","0.40%"
"07/25/2019","348.29","350.33","350.33","347.17","171.89M","-0.54%"
"07/24/2019","350.19","349.72","350.79","348.64","185.73M","0.17%"
"07/23/2019","349.61","346.54","349.67","345.75","200.43M","1.05%"
"07/22/2019","345.99","346.44","347.15","344.64","148.98M","0.01%"
"07/19/2019","345.96","351.77","352.26","345.73","166.67M","-1.61%"
"07/18/2019","351.61","350.51","352.50","349.02","163.49M","-0.02%"
"07/17/2019","351.69","353.71","354.52","349.63","161.14M","-0.35%"
"07/16/2019","352.91","353.16","354.12","352.13","193.17M","-0.25%"
"07/15/2019","353.78","354.39","355.89","353.42","145.33M","0.03%"
"07/12/2019","353.69","354.92","354.94","352.42","151.15M","-0.23%"
"07/11/2019","354.52","358.43","358.53","353.03","191.07M","-1.13%"
"07/10/2019","358.56","357.83","359.35","356.40","165.67M","0.53%"
"07/09/2019","356.67","354.70","357.03","353.93","147.02M","0.44%"
"07/08/2019","355.12","353.73","355.83","353.28","161.02M","0.30%"
"07/05/2019","354.06","353.38","355.02","348.87","119.98M","-0.38%"
"07/03/2019","355.41","351.58","355.48","351.58","97.19M","1.32%"
"07/02/2019","350.77","346.18","350.93","345.98","192.71M","1.57%"
"07/01/2019","345.35","347.98","347.98","341.63","194.09M","-0.21%"
"06/28/2019","346.08","344.86","347.62","344.64","375.32M","0.41%"
"06/27/2019","344.68","342.35","344.89","342.35","190.81M","0.87%"
"06/26/2019","341.71","348.32","348.32","340.98","282.14M","-1.92%"
"06/25/2019","348.41","353.40","354.26","348.29","219.07M","-1.28%"
"06/24/2019","352.93","356.05","356.41","352.46","191.92M","-0.61%"
"06/21/2019","355.10","358.36","358.36","353.67","344.00M","-1.11%"
"06/20/2019","359.10","358.96","360.33","358.60","186.11M","0.42%"
"06/19/2019","357.59","354.76","358.51","353.48","166.91M","0.63%"
"06/18/2019","355.36","357.71","359.37","354.01","169.92M","-0.21%"
"06/17/2019","356.12","353.29","356.51","353.29","169.15M","1.01%"
"06/14/2019","352.55","351.89","353.98","351.88","202.42M","0.15%"
"06/13/2019","352.02","351.13","352.03","350.29","175.84M","0.26%"
"06/12/2019","351.10","350.38","352.38","349.97","159.94M","0.29%"
"06/11/2019","350.09","350.47","350.89","347.80","160.05M","0.14%"
"06/10/2019","349.61","350.90","351.15","348.34","152.22M","-0.24%"
"06/07/2019","350.45","350.96","352.44","350.19","182.71M","0.25%"
"06/06/2019","349.57","349.33","350.07","346.98","179.66M","0.15%"
"06/05/2019","349.05","343.57","349.11","342.93","184.46M","2.06%"
"06/04/2019","342.00","343.22","343.28","338.81","218.25M","-0.32%"
"06/03/2019","343.11","342.70","343.67","340.67","227.04M","0.35%"
"05/31/2019","341.92","338.87","343.72","338.20","250.07M","0.55%"
"05/30/2019","340.06","339.05","341.64","338.95","181.11M","0.37%"
"05/29/2019","338.79","342.63","342.72","337.66","225.26M","-1.20%"
"05/28/2019","342.90","347.71","348.63","342.89","248.36M","-1.07%"
"05/24/2019","346.62","347.11","348.36","346.42","144.69M","0.25%"
"05/23/2019","345.75","343.83","345.98","343.17","194.38M","0.23%"
"05/22/2019","344.95","344.00","345.18","343.52","136.35M","0.26%"
"05/21/2019","344.07","341.95","344.71","341.95","156.44M","0.88%"
"05/20/2019","341.06","345.80","345.80","339.82","161.64M","-1.50%"
"05/17/2019","346.24","346.06","346.90","344.60","165.43M","-0.28%"
"05/16/2019","347.21","345.35","348.32","344.88","139.70M","0.55%"
"05/15/2019","345.32","342.98","346.33","342.01","151.64M","0.59%"
"05/14/2019","343.28","342.40","344.34","342.01","170.88M","0.34%"
"05/13/2019","342.10","340.11","342.46","339.37","171.54M","-0.15%"
"05/10/2019","342.60","338.82","343.32","337.98","156.14M","1.04%"
"05/09/2019","339.07","337.40","339.36","335.05","185.11M","0.32%"
"05/08/2019","338.00","338.69","341.19","337.88","171.12M","-0.09%"
"05/07/2019","338.31","343.15","343.53","336.11","213.98M","-1.75%"
"05/06/2019","344.33","343.62","345.25","342.20","185.09M","-0.33%"
"05/03/2019","345.46","343.74","345.81","342.73","184.39M","0.72%"
"05/02/2019","343.00","343.45","346.17","342.10","222.55M","0.06%"
"05/01/2019","342.81","342.84","346.50","342.36","190.50M","0.04%"
"04/30/2019","342.66","339.32","343.19","337.65","189.80M","1.01%"
"04/29/2019","339.22","342.41","343.31","338.91","146.89M","-1.01%"
"04/26/2019","342.69","341.02","342.98","340.21","153.09M","0.73%"
"04/25/2019","340.22","339.71","341.14","338.06","170.52M","-0.19%"
"04/24/2019","340.86","339.11","341.91","338.61","144.37M","0.74%"
"04/23/2019","338.34","335.21","339.11","334.59","161.47M","1.18%"
"04/22/2019","334.38","337.15","337.25","331.55","157.04M","-1.04%"
"04/18/2019","337.90","335.21","338.52","334.47","140.93M","0.77%"
"04/17/2019","335.33","339.59","339.75","334.42","171.70M","-0.93%"
"04/16/2019","338.47","346.03","346.11","337.08","172.57M","-2.15%"
"04/15/2019","345.91","347.81","347.89","345.03","127.99M","-0.53%"
"04/12/2019","347.74","345.80","347.74","343.50","136.56M","0.51%"
"04/11/2019","345.96","346.59","347.64","344.63","129.63M","-0.07%"
"04/10/2019","346.20","344.19","346.33","343.80","163.18M","0.87%"
"04/09/2019","343.22","345.09","345.19","342.83","146.69M","-0.55%"
"04/08/2019","345.11","346.58","346.83","344.07","145.24M","-0.50%"
"04/05/2019","346.84","344.49","347.07","344.10","160.86M","0.66%"
"04/04/2019","344.55","345.50","345.63","343.03","140.86M","-0.20%"
"04/03/2019","345.23","345.57","346.46","342.96","199.04M","-0.06%"
"04/02/2019","345.45","343.47","345.92","340.90","206.86M","0.60%"
"04/01/2019","343.38","343.73","343.98","339.77","185.88M","0.01%"
"03/29/2019","343.33","344.35","344.42","342.26","244.07M","-0.18%"
"03/28/2019","343.95","341.52","343.98","340.55","198.17M","0.64%"
"03/27/2019","341.76","342.84","343.49","339.66","201.88M","-0.28%"
"03/26/2019","342.71","340.77","342.78","340.59","178.34M","0.78%"
"03/25/2019","340.06","339.97","341.25","338.20","182.55M","0.05%"
"03/22/2019","339.90","342.18","344.40","339.84","194.27M","-0.66%"
"03/21/2019","342.17","335.37","342.36","335.37","198.39M","1.74%"
"03/20/2019","336.33","335.68","338.28","333.10","199.55M","0.30%"
"03/19/2019","335.34","336.60","336.99","334.41","186.99M","-0.32%"
"03/18/2019","336.43","338.47","339.05","334.89","154.06M","-0.47%"
"03/15/2019","338.03","339.18","339.61","337.43","280.16M","-0.32%"
"03/14/2019","339.13","338.80","339.17","337.52","170.15M","0.07%"
"03/13/2019","338.90","337.95","339.88","337.95","169.86M","0.44%"
"03/12/2019","337.41","336.53","338.25","336.12","171.59M","0.39%"
"03/11/2019","336.11","332.10","336.22","332.10","166.96M","1.46%"
"03/08/2019","331.27","330.21","332.29","329.85","165.90M","0.11%"
"03/07/2019","330.92","331.75","333.80","330.01","179.49M","-0.19%"
"03/06/2019","331.54","332.94","333.89","331.19","180.90M","-0.42%"
"03/05/2019","332.94","331.94","334.15","331.53","173.40M","0.22%"
"03/04/2019","332.22","331.75","332.44","328.54","200.08M","0.43%"
"03/01/2019","330.80","331.70","331.94","327.23","227.64M","-0.19%"
"02/28/2019","331.42","330.57","335.06","329.73","257.13M","0.25%"
"02/27/2019","330.60","331.04","331.91","328.25","188.81M","-0.30%"
"02/26/2019","331.58","333.41","333.66","331.17","188.05M","-0.34%"
"02/25/2019","332.72","335.63","335.91","332.35","206.86M","-0.71%"
"02/22/2019","335.11","333.58","336.33","332.86","190.61M","0.57%"
"02/21/2019","333.21","332.14","333.51","330.00","233.34M","0.05%"
"02/20/2019","333.04","334.81","334.81","330.90","254.38M","-0.63%"
"02/19/2019","335.14","335.03","335.93","334.08","223.16M","-0.04%"
"02/15/2019","335.29","334.60","335.37","333.38","195.11M","0.57%"
"02/14/2019","333.39","332.83","334.47","331.66","175.96M","0.29%"
"02/13/2019","332.42","330.20","332.66","329.64","185.26M","0.46%"
"02/12/2019","330.91","333.36","333.37","329.95","213.39M","-0.61%"
"02/11/2019","332.93","332.02","333.45","331.81","173.13M","0.23%"
"02/08/2019","332.18","331.12","333.16","330.31","153.85M","0.04%"
"02/07/2019","332.05","328.68","332.39","327.57","197.14M","0.78%"
"02/06/2019","329.48","331.20","331.20","328.51","160.43M","-0.66%"
"02/05/2019","331.66","329.27","331.75","328.18","240.54M","0.54%"
"02/04/2019","329.87","327.07","329.88","324.94","170.31M","0.75%"
"02/01/2019","327.41","329.94","330.65","323.22","209.96M","-0.62%"
"01/31/2019","329.45","325.88","329.76","323.50","271.92M","0.93%"
"01/30/2019","326.41","323.82","327.44","323.68","198.31M","0.73%"
"01/29/2019","324.04","321.47","324.09","321.07","170.72M","0.80%"
"01/28/2019","321.48","317.65","321.74","317.07","174.16M","0.90%"
"01/25/2019","318.61","315.52","318.66","315.49","167.92M","1.20%"
"01/24/2019","314.83","313.64","315.42","312.00","142.80M","0.33%"
"01/23/2019","313.78","313.85","314.19","311.76","166.93M","0.06%"
"01/22/2019","313.59","314.31","314.62","311.20","162.22M","-0.28%"
"01/18/2019","314.46","314.11","314.68","312.24","170.17M","0.34%"
"01/17/2019","313.38","311.37","313.39","311.32","165.08M","0.47%"
"01/16/2019","311.91","309.68","312.81","309.28","167.57M","0.72%"
"01/15/2019","309.68","307.22","310.34","307.20","156.99M","0.95%"
"01/14/2019","306.76","307.12","308.45","305.70","178.15M","-0.36%"
"01/11/2019","307.88","306.68","308.01","305.35","162.45M","0.31%"
"01/10/2019","306.94","302.36","307.42","301.41","206.29M","1.39%"
"01/09/2019","302.74","303.46","303.99","299.83","188.87M","-0.15%"
"01/08/2019","303.20","298.79","303.80","298.58","298.43M","1.88%"
"01/07/2019","297.60","295.64","299.77","295.25","187.52M","0.85%"
"01/04/2019","295.09","292.95","297.38","292.76","186.90M","1.23%"
"01/03/2019","291.51","289.39","295.80","289.39","209.55M","0.57%"
"01/02/2019","289.86","293.18","293.20","288.20","188.99M","-2.06%"
"12/31/2018","295.97","296.16","296.36","291.20","187.02M","0.02%"
"12/28/2018","295.90","297.09","298.56","293.49","195.41M","-0.03%"
"12/27/2018","296.00","294.03","296.00","287.42","222.36M","0.16%"
"12/26/2018","295.53","286.36","295.53","283.67","224.01M","3.45%"
"12/24/2018","285.67","295.81","295.97","285.67","144.92M","-3.65%"
"12/21/2018","296.50","300.61","306.52","296.15","428.29M","-1.37%"
"12/20/2018","300.63","304.55","305.41","298.26","274.43M","-1.42%"
"12/19/2018","304.97","308.46","310.21","304.09","250.01M","-1.06%"
"12/18/2018","308.23","307.35","310.28","306.88","220.05M","0.90%"
"12/17/2018","305.48","317.45","318.10","304.76","265.45M","-3.75%"
"12/14/2018","317.38","317.06","318.49","315.58","187.91M","-0.20%"
"12/13/2018","318.03","316.38","320.40","316.38","202.68M","0.58%"
"12/12/2018","316.21","322.92","323.73","316.15","213.88M","-1.68%"
"12/11/2018","321.60","322.76","324.46","321.60","209.31M","-0.01%"
"12/10/2018","321.64","323.78","323.78","317.79","210.32M","-0.58%"
"12/07/2018","323.51","327.25","327.25","322.45","228.98M","-1.33%"
"12/06/2018","327.86","318.41","328.05","315.53","304.41M","2.52%"
"12/04/2018","319.80","324.49","325.47","319.29","230.01M","-1.49%"
"12/03/2018","324.63","324.12","324.66","321.84","204.38M","0.50%"
"11/30/2018","323.00","320.70","323.16","319.77","322.68M","0.87%"
"11/29/2018","320.20","319.78","321.60","317.98","194.72M","0.03%"
"11/28/2018","320.09","316.96","320.31","316.30","193.75M","0.96%"
"11/27/2018","317.05","315.94","317.19","314.50","186.45M","0.33%"
"11/26/2018","316.00","316.32","317.06","314.56","165.34M","0.33%"
"11/23/2018","314.95","315.20","316.51","313.46","86.18M","-0.26%"
"11/21/2018","315.78","315.66","318.36","314.52","176.46M","-0.01%"
"11/20/2018","315.81","318.46","319.46","315.70","220.32M","-1.03%"
"11/19/2018","319.11","318.87","321.17","316.97","201.19M","0.10%"
"11/16/2018","318.79","314.68","318.91","314.21","222.63M","1.20%"
"11/15/2018","315.00","315.98","315.98","311.90","273.71M","-0.79%"
"11/14/2018","317.50","319.14","319.17","315.95","173.94M","-0.19%"
"11/13/2018","318.09","318.43","319.58","316.35","176.22M","0.06%"
"11/12/2018","317.91","317.88","320.95","317.62","157.53M","-0.01%"
"11/09/2018","317.95","317.43","318.79","316.33","161.48M","0.03%"
"11/08/2018","317.85","316.73","317.85","315.32","157.58M","0.08%"
"11/07/2018","317.60","315.20","317.69","313.68","179.76M","1.21%"
"11/06/2018","313.81","312.72","314.00","312.08","200.30M","0.44%"
"11/05/2018","312.43","308.57","313.47","308.57","217.33M","1.50%"
"11/02/2018","307.81","310.97","310.97","304.79","239.06M","-0.90%"
"11/01/2018","310.60","309.99","311.19","308.26","239.10M","0.44%"
"10/31/2018","309.24","312.91","313.34","308.65","266.73M","-1.09%"
"10/30/2018","312.66","309.44","314.89","308.37","233.26M","1.28%"
"10/29/2018","308.72","306.61","310.64","306.61","195.88M","1.23%"
"10/26/2018","304.98","311.37","311.37","302.92","224.25M","-2.40%"
"10/25/2018","312.49","309.01","314.03","308.05","224.79M","1.24%"
"10/24/2018","308.66","306.27","311.23","306.10","234.02M","0.83%"
"10/23/2018","306.11","303.35","307.53","302.22","191.21M","0.49%"
"10/22/2018","304.63","309.03","310.43","304.58","154.80M","-1.28%"
"10/19/2018","308.59","306.58","309.54","306.58","161.89M","0.77%"
"10/18/2018","306.23","306.48","308.82","305.21","159.14M","-0.18%"
"10/17/2018","306.79","307.25","308.06","304.61","170.55M","-0.22%"
"10/16/2018","307.46","302.33","308.28","301.03","179.68M","1.96%"
"10/15/2018","301.56","299.56","304.26","299.38","176.44M","0.56%"
"10/12/2018","299.88","302.33","303.72","298.12","214.57M","-0.17%"
"10/11/2018","300.38","309.06","309.13","299.97","257.46M","-2.73%"
"10/10/2018","308.81","312.92","314.25","308.74","209.71M","-1.57%"
"10/09/2018","313.73","312.96","314.57","311.76","181.04M","0.23%"
"10/08/2018","313.01","309.16","314.08","309.12","168.05M","1.31%"
"10/05/2018","308.96","309.47","310.84","308.65","183.05M","-0.10%"
"10/04/2018","309.27","310.94","310.94","307.28","194.37M","-0.83%"
"10/03/2018","311.87","314.81","315.84","309.89","197.23M","-0.87%"
"10/02/2018","314.60","315.58","316.49","314.48","156.47M","-0.29%"
"10/01/2018","315.51","318.53","318.76","315.49","165.45M","-0.89%"
"09/28/2018","318.33","314.20","318.34","314.18","223.55M","1.30%"
"09/27/2018","314.26","314.02","315.85","313.68","163.43M","0.09%"
"09/26/2018","313.98","317.41","317.80","313.82","185.32M","-1.09%"
"09/25/2018","317.44","317.81","319.26","317.21","167.91M","-0.08%"
"09/24/2018","317.68","322.84","322.84","316.49","176.18M","-1.72%"
"09/21/2018","323.24","323.44","324.90","322.55","314.34M","-0.09%"
"09/20/2018","323.54","321.08","323.66","319.79","174.99M","0.87%"
"09/19/2018","320.74","324.60","324.74","320.23","204.07M","-1.11%"
"09/18/2018","324.35","325.63","326.20","323.89","170.90M","-0.48%"
"09/17/2018","325.91","324.58","326.39","323.88","178.37M","0.36%"
"09/14/2018","324.74","326.62","326.62","322.78","198.29M","-0.76%"
"09/13/2018","327.22","326.57","328.07","325.80","190.74M","0.46%"
"09/12/2018","325.71","325.91","326.57","324.85","242.04M","-0.06%"
"09/11/2018","325.92","325.52","326.98","324.75","157.74M","-0.07%"
"09/10/2018","326.16","325.73","327.70","325.72","148.13M","0.46%"
"09/07/2018","324.68","327.29","327.29","324.24","156.12M","-1.09%"
"09/06/2018","328.26","327.85","328.97","327.69","163.87M","0.23%"
"09/05/2018","327.50","324.98","328.33","323.75","171.21M","0.53%"
"09/04/2018","325.77","328.68","329.11","325.10","156.06M","-0.94%"
"08/31/2018","328.87","327.99","329.67","327.77","170.74M","0.30%"
"08/30/2018","327.87","329.75","330.02","327.48","129.09M","-0.51%"
"08/29/2018","329.54","329.92","330.63","329.28","145.27M","-0.03%"
"08/28/2018","329.63","326.09","329.64","325.51","156.00M","1.11%"
"08/27/2018","326.01","326.89","327.11","324.59","316.16M","-0.13%"
"08/24/2018","326.43","324.63","326.59","324.32","152.69M","0.51%"
"08/23/2018","324.76","325.52","326.08","324.64","148.68M","-0.21%"
"08/22/2018","325.43","326.76","326.96","324.44","147.08M","-0.54%"
"08/21/2018","327.20","329.06","329.06","326.72","221.81M","-0.65%"
"08/20/2018","329.34","329.61","331.04","328.99","171.45M","0.04%"
"08/17/2018","329.21","326.22","329.22","326.16","182.70M","0.94%"
"08/16/2018","326.16","323.93","326.26","323.64","177.77M","0.65%"
"08/15/2018","324.04","321.42","324.28","320.95","189.63M","0.76%"
"08/14/2018","321.59","320.29","322.18","320.12","162.40M","0.52%"
"08/13/2018","319.93","320.05","320.95","319.24","154.19M","-0.05%"
"08/10/2018","320.08","322.39","323.18","320.04","167.82M","-0.88%"
"08/09/2018","322.91","322.64","323.86","322.28","177.97M","0.07%"
"08/08/2018","322.69","324.47","324.47","322.14","168.55M","-0.51%"
"08/07/2018","324.36","325.24","325.24","323.15","209.84M","-0.26%"
"08/06/2018","325.21","325.62","326.86","324.55","191.34M","-0.12%"
"08/03/2018","325.61","322.72","325.97","322.52","231.26M","0.95%"
"08/02/2018","322.53","322.66","324.14","321.94","208.05M","-0.30%"
"08/01/2018","323.51","320.39","323.71","318.70","257.30M","0.50%"
"07/31/2018","321.91","318.13","323.07","318.13","361.81M","1.67%"
"07/30/2018","316.61","316.66","317.23","314.40","179.35M","0.03%"
"07/27/2018","316.51","320.19","320.56","316.16","188.72M","-0.96%"
"07/26/2018","319.59","319.14","321.21","318.91","192.70M","0.29%"
"07/25/2018","318.68","316.41","319.23","316.41","192.42M","0.77%"
"07/24/2018","316.26","317.77","317.87","315.33","207.74M","-0.46%"
"07/23/2018","317.73","318.10","318.12","315.87","184.99M","-0.14%"
"07/20/2018","318.18","320.58","320.62","317.35","178.80M","-0.88%"
"07/19/2018","321.00","317.36","322.17","316.94","191.20M","1.03%"
"07/18/2018","317.74","318.83","319.53","316.39","214.99M","-0.46%"
"07/17/2018","319.22","321.29","321.91","318.84","199.07M","-0.59%"
"07/16/2018","321.12","322.27","322.41","319.42","147.69M","-0.53%"
"07/13/2018","322.84","323.95","324.96","322.54","124.13M","-0.22%"
"07/12/2018","323.54","323.21","324.17","322.18","143.62M","0.20%"
"07/11/2018","322.89","323.42","324.34","322.50","158.01M","-0.25%"
"07/10/2018","323.71","322.92","324.30","321.82","200.24M","0.24%"
"07/09/2018","322.93","325.61","325.69","321.51","188.39M","-0.78%"
"07/06/2018","325.48","324.42","325.99","324.42","163.67M","0.48%"
"07/05/2018","323.94","320.64","324.08","320.01","171.98M","1.22%"
"07/03/2018","320.05","318.34","322.38","317.46","127.19M","0.62%"
"07/02/2018","318.09","319.07","319.85","314.53","195.71M","-0.44%"
"06/29/2018","319.48","318.38","321.09","316.49","229.03M","0.06%"
"06/28/2018","319.28","316.70","319.62","316.14","215.04M","0.66%"
"06/27/2018","317.20","319.00","320.04","317.19","220.62M","-0.40%"
"06/26/2018","318.48","317.75","319.69","316.87","224.29M","0.33%"
"06/25/2018","317.42","318.36","318.55","315.68","226.00M","-0.26%"
"06/22/2018","318.24","316.72","318.57","315.42","348.42M","0.65%"
"06/21/2018","316.19","314.83","316.51","314.18","202.49M","0.44%"
"06/20/2018","314.82","311.84","315.16","311.58","201.48M","1.03%"
"06/19/2018","311.62","310.71","312.96","310.60","227.23M","-0.02%"
"06/18/2018","311.68","310.94","311.81","309.75","179.63M","0.06%"
"06/15/2018","311.49","311.96","313.69","311.04","321.48M","-0.13%"
"06/14/2018","311.88","309.91","312.81","309.82","183.58M","0.81%"
"06/13/2018","309.38","315.67","315.84","308.91","222.78M","-1.97%"
"06/12/2018","315.59","313.43","316.32","312.80","223.93M","0.57%"
"06/11/2018","313.79","314.02","314.55","313.46","170.09M","-0.11%"
"06/08/2018","314.13","312.77","314.26","312.54","170.55M","0.41%"
"06/07/2018","312.85","313.10","313.59","311.16","206.71M","-0.08%"
"06/06/2018","313.09","312.03","313.10","310.90","194.87M","0.30%"
"06/05/2018","312.14","313.40","314.30","311.67","217.55M","-0.32%"
"06/04/2018","313.15","311.13","313.15","310.18","205.42M","0.91%"
"06/01/2018","310.33","309.25","311.01","308.36","214.94M","0.41%"
"05/31/2018","309.06","309.23","310.17","307.91","337.25M","-0.33%"
"05/30/2018","310.09","306.00","311.10","305.27","219.43M","1.32%"
"05/29/2018","306.05","304.47","306.77","303.50","220.60M","0.32%"
"05/25/2018","305.06","304.17","306.07","304.08","139.22M","0.40%"
"05/24/2018","303.83","304.91","305.60","302.50","199.66M","-0.29%"
"05/23/2018","304.70","302.16","305.51","302.01","185.32M","0.89%"
"05/22/2018","302.02","301.69","302.33","300.73","213.68M","0.08%"
"05/21/2018","301.78","299.68","302.39","297.67","215.31M","1.06%"
"05/18/2018","298.60","298.08","299.54","297.33","224.83M","0.18%"
"05/17/2018","298.07","299.55","300.15","297.51","172.65M","-0.49%"
"05/16/2018","299.53","300.97","301.83","299.20","184.30M","-0.34%"
"05/15/2018","300.54","303.70","303.81","299.82","245.98M","-1.53%"
"05/14/2018","305.21","307.48","307.66","303.86","169.72M","-0.73%"
"05/11/2018","307.44","309.08","309.89","307.17","162.96M","-0.40%"
"05/10/2018","308.69","307.00","309.21","307.00","192.08M","0.90%"
"05/09/2018","305.94","304.10","306.10","303.27","211.05M","0.64%"
"05/08/2018","303.99","305.74","305.74","303.17","227.63M","-0.59%"
"05/07/2018","305.79","304.68","306.09","304.14","218.23M","0.51%"
"05/04/2018","304.24","300.88","304.98","300.76","190.25M","1.04%"
"05/03/2018","301.11","300.10","302.14","299.71","215.78M","0.08%"
"05/02/2018","300.87","300.88","302.23","298.80","251.00M","-0.33%"
"05/01/2018","301.87","300.02","302.29","299.04","222.81M","0.67%"
"04/30/2018","299.87","300.98","302.23","299.79","280.15M","-0.31%"
"04/27/2018","300.80","296.36","301.67","296.13","207.56M","1.31%"
"04/26/2018","296.91","294.47","298.50","294.05","205.88M","1.15%"
"04/25/2018","293.52","293.53","294.35","291.49","172.49M","-0.24%"
"04/24/2018","294.24","294.07","295.55","292.79","191.61M","0.31%"
"04/23/2018","293.33","293.70","294.56","292.00","154.97M","0.03%"
"04/20/2018","293.25","296.02","296.62","292.95","185.72M","-0.82%"
